,id,rated,variant,speed,createdAt,lastMoveAt,status,winner,moves,clock,white_player_name,white_ranking,black_player_name,black_ranking
137,tBQ890ZW,True,standard,blitz,2022-09-01 23:12:01.371000+02:00,2022-09-01 23:18:07.525000+02:00,mate,black,30,300,thechosenwaan,1695,EvilSaintPL,1737
138,1KrMpeOs,True,standard,blitz,2022-09-01 23:08:21.257000+02:00,2022-09-01 23:11:21.033000+02:00,resign,white,17,300,EvilSaintPL,1733,McHubbled,1645
139,Ka8iwCg1,True,standard,blitz,2022-09-01 23:01:54.285000+02:00,2022-09-01 23:08:16.685000+02:00,resign,black,37,300,EvilSaintPL,1739,willisand,1733
140,nWvDq9dB,True,standard,blitz,2022-09-01 22:58:15.633000+02:00,2022-09-01 23:01:47.783000+02:00,resign,black,27,300,ppmari,1740,EvilSaintPL,1733
141,Bad55jmK,True,standard,blitz,2022-09-01 22:48:39.401000+02:00,2022-09-01 22:58:09.134000+02:00,mate,white,52,300,spasoda,1742,EvilSaintPL,1739
142,zXauzu8w,True,standard,blitz,2022-09-01 22:46:53.197000+02:00,2022-09-01 22:47:35.755000+02:00,timeout,white,6,300,EvilSaintPL,1734,Hberat1907,1700
143,ykknMqtW,True,standard,blitz,2022-09-01 15:20:15.494000+02:00,2022-09-01 15:23:26.186000+02:00,mate,black,25,180,EvilSaintPL,1740,kisafan,1732
144,g6OxhJhx,True,standard,blitz,2022-09-01 15:18:12.474000+02:00,2022-09-01 15:19:17.952000+02:00,resign,white,13,180,Lloyd06,1775,EvilSaintPL,1745
145,LfC4kv3j,True,standard,blitz,2022-08-31 23:49:27.075000+02:00,2022-08-31 23:56:51.138000+02:00,resign,white,41,300,EvilSaintPL,1739,sleepygarry,1742
146,aBjfrvsr,True,standard,blitz,2022-08-30 14:37:42.872000+02:00,2022-08-30 14:47:28.693000+02:00,draw,,70,300,Yuriy_K,1787,EvilSaintPL,1738
147,rT6fEMkv,True,standard,blitz,2022-08-30 14:26:54.568000+02:00,2022-08-30 14:37:16.478000+02:00,stalemate,,85,300,EvilSaintPL,1738,andisyaiful,1758
148,Zm6pJ4nq,True,standard,blitz,2022-08-30 14:19:41.375000+02:00,2022-08-30 14:26:42.989000+02:00,resign,black,50,300,BDG-84,1728,EvilSaintPL,1732
